Date;SKU;Pre-Launch Quantity;Sales Rate Per Week;Velocity;Current Quantity;Week Number;Threshold;Threshold Reached?;Date Of Replanishment;Units Added;New Units;WOS;Target WOS;Suggested Replan Qty;Color;Size
6/29/2027;Vamp 3X;0;4;Low;0;105;222;;;;119.0;0.0;15;60;Vamp;3X
6/29/2027;Toffee 1X;0;3;Low;0;105;186;;;;54.0;0.0;15;45;Toffee;1X
6/29/2027;Sand XS;0;3;Low;0;105;170;;;;0.0;0.0;15;45;Sand;XS
6/29/2027;Sand S;0;8;Low;0;105;531;;;;65.0;0.0;15;120;Sand;S
6/29/2027;Sand M;0;21;High;0;105;1349;;;;419.0;0.0;15;315;Sand;M
6/29/2027;Sand L;0;18;High;0;105;1143;;;;1094.0;0.0;15;270;Sand;L
6/29/2027;Sand XL;0;21;High;0;105;1313;;;;590.0;0.0;15;315;Sand;XL
6/29/2027;Sand 1X;0;9;Low;0;105;583;;;;198.0;0.0;15;135;Sand;1X
6/29/2027;Sand 2X;0;7;Low;0;105;420;;;;0.0;0.0;15;105;Sand;2X
6/29/2027;Sand 3X;0;3;Low;0;105;184;;;;106.0;0.0;15;45;Sand;3X
6/29/2027;Vamp XS;0;3;Low;0;105;202;;;;0.0;0.0;15;45;Vamp;XS
6/29/2027;Vamp S;0;10;Low;0;105;626;;;;86.0;0.0;15;150;Vamp;S
6/29/2027;Vamp M;0;25;High;0;105;1535;;;;639.0;0.0;15;375;Vamp;M
6/29/2027;Vamp L;0;22;High;0;105;1367;;;;1279.0;0.0;15;330;Vamp;L
6/29/2027;Vamp XL;0;25;High;0;105;1575;;;;666.0;0.0;15;375;Vamp;XL
6/29/2027;Toffee 2X;0;2;Low;0;105;134;;;;0.0;0.0;15;30;Toffee;2X
6/29/2027;Vamp 1X;0;11;Low;0;105;700;;;;218.0;0.0;15;165;Vamp;1X
6/29/2027;Runway XS;0;2;Low;0;105;113;;;;0.0;0.0;15;30;Runway;XS
6/29/2027;Runway S;0;5;Low;0;105;350;;;;1.0;0.0;15;75;Runway;S
6/29/2027;Runway M;0;13;Low;0;105;859;;;;0.0;0.0;15;195;Runway;M
6/29/2027;Runway L;0;12;Low;0;105;765;;;;0.0;0.0;15;180;Runway;L
6/29/2027;Runway XL;0;13;Low;0;105;881;;;;0.0;0.0;15;195;Runway;XL
6/29/2027;Runway 1X;0;6;Low;0;105;392;;;;65.0;0.0;15;90;Runway;1X
6/29/2027;Runway 2X;0;4;Low;0;105;282;;;;0.0;0.0;15;60;Runway;2X
6/29/2027;Runway 3X;0;2;Low;0;105;124;;;;47.0;0.0;15;30;Runway;3X
6/29/2027;Toffee XS;0;1;Low;0;105;54;;;;0.0;0.0;15;15;Toffee;XS
6/29/2027;Toffee S;0;3;Low;0;105;166;;;;19.0;0.0;15;45;Toffee;S
6/29/2027;Toffee M;0;6;Low;0;105;408;;;;0.0;0.0;15;90;Toffee;M
6/29/2027;Toffee L;0;6;Low;0;105;363;;;;36.0;0.0;15;90;Toffee;L
6/29/2027;Toffee XL;0;7;Low;0;105;419;;;;0.0;0.0;15;105;Toffee;XL
6/29/2027;Vamp 2X;0;8;Low;0;105;505;;;;0.0;0.0;15;120;Vamp;2X
6/29/2027;Toffee 3X;0;1;Low;0;105;59;;;;30.0;0.0;15;15;Toffee;3X
